# 生成: detect_term_variants.py scan (--terms .rn/20260724-ntf-yaml-support/mapping/tools/term_candidates.tsv)
# コーパス: current,input,fw,design
# 基準コミット(current): c24190607fef5d76c607aa08b36d2ab2f813efe5
category	canonical	surface	corpus	count	files	locations
全体	テスティングフレームワーク	テストフレームワーク	fw	0	0	
全体	テスティングフレームワーク	テストフレームワーク	design	0	0	
全体	テスティングフレームワーク	本フレームワーク	current	14	5	ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/batch.rst:617;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/mail.rst:10;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/mail.rst:11;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:449;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:591;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:12;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:50;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:542;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:305;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:347;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:572;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:575;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:576
全体	テスティングフレームワーク	本フレームワーク	input	0	0	
全体	テスティングフレームワーク	本フレームワーク	fw	10	6	ja/application_framework/application_framework/libraries/database/database.rst:442;ja/application_framework/application_framework/libraries/exclusive_control.rst:35;ja/application_framework/application_framework/libraries/log.rst:74;ja/application_framework/application_framework/libraries/log.rst:129;ja/application_framework/application_framework/libraries/log.rst:1132;ja/application_framework/application_framework/libraries/log.rst:1316;ja/application_framework/application_framework/libraries/log.rst:1323;ja/application_framework/application_framework/libraries/system_messaging/http_system_messaging.rst:262;ja/application_framework/application_framework/libraries/system_messaging/mom_system_messaging.rst:883;ja/application_framework/application_framework/libraries/utility.rst:10
全体	テスティングフレームワーク	本フレームワーク	design	0	0	
全体	テスティングフレームワーク	NTF	current	2	2	ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_real.rst:153;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_send_sync.rst:49
全体	テスティングフレームワーク	NTF	input	42	10	.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:1;.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:3;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md:1;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md:7;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md:278;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md:1;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-overview.md:1;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-overview.md:5;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md:1;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-table.md:1;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md:1;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md:1;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md:3;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md:258;.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md:260;.rn/20260724-ntf-yaml-support/input/ntf-testdata-loading.md:1;.rn/20260724-ntf-yaml-support/input/ntf-testdata-loading.md:3;.rn/20260724-ntf-yaml-support/input/ntf-testdata-loading.md:6;.rn/20260724-ntf-yaml-support/input/ntf-testdata-loading.md:7;.rn/20260724-ntf-yaml-support/input/ntf-testdata-loading.md:263;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:1;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:3;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:4;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:14;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:16;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:22;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:25;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:56;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:103;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:109;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:111;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:114;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:135;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:161;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:310;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:320;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:329;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:332;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:355;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:361;.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md:362
全体	テスティングフレームワーク	NTF	fw	0	0	
全体	テスティングフレームワーク	NTF	design	5	1	.rn/20260724-ntf-yaml-support/design.md:1;.rn/20260724-ntf-yaml-support/design.md:9;.rn/20260724-ntf-yaml-support/design.md:29;.rn/20260724-ntf-yaml-support/design.md:164;.rn/20260724-ntf-yaml-support/design.md:246
全体	ハンドラキュー	ハンドラキュー	current	1	1	ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_rest.rst:320
全体	ハンドラキュー	ハンドラキュー	input	0	0	
全体	ハンドラキュー	ハンドラキュー	fw	84	28	ja/application_framework/application_framework/batch/nablarch_batch/architecture.rst:48;ja/application_framework/application_framework/batch/nablarch_batch/architecture.rst:77;ja/application_framework/application_framework/batch/nablarch_batch/architecture.rst:80;ja/application_framework/application_framework/batch/nablarch_batch/architecture.rst:83;ja/application_framework/application_framework/batch/nablarch_batch/architecture.rst:88;ja/application_framework/application_framework/batch/nablarch_batch/architecture.rst:98;ja/application_framework/application_framework/batch/nablarch_batch/architecture.rst:131;ja/application_framework/application_framework/batch/nablarch_batch/architecture.rst:275;ja/application_framework/application_framework/handlers/batch/loop_handler.rst:150;ja/application_framework/application_framework/handlers/batch/process_resident_handler.rst:9;ja/application_framework/application_framework/handlers/common/database_connection_management_handler.rst:77;ja/application_framework/application_framework/handlers/common/file_record_writer_dispose_handler.rst:39;ja/application_framework/application_framework/handlers/common/file_record_writer_dispose_handler.rst:41;ja/application_framework/application_framework/handlers/common/global_error_handler.rst:32;ja/application_framework/application_framework/handlers/common/global_error_handler.rst:33;ja/application_framework/application_framework/handlers/common/request_handler_entry.rst:63;ja/application_framework/application_framework/handlers/common/request_path_java_package_mapping.rst:165;ja/application_framework/application_framework/handlers/common/transaction_management_handler.rst:158;ja/application_framework/application_framework/handlers/common/transaction_management_handler.rst:178;ja/application_framework/application_framework/handlers/common/transaction_management_handler.rst:218;ja/application_framework/application_framework/handlers/rest/cors_preflight_request_handler.rst:67;ja/application_framework/application_framework/handlers/standalone/main.rst:12;ja/application_framework/application_framework/handlers/standalone/main.rst:22;ja/application_framework/application_framework/handlers/standalone/multi_thread_execution_handler.rst:9;ja/application_framework/application_framework/handlers/standalone/multi_thread_execution_handler.rst:85;ja/application_framework/application_framework/handlers/web/http_request_java_package_mapping.rst:79;ja/application_framework/application_framework/handlers/web/http_request_java_package_mapping.rst:81;ja/application_framework/application_framework/handlers/web/post_resubmit_prevent_handler.rst:67;ja/application_framework/application_framework/handlers/web/resource_mapping.rst:91;ja/application_framework/application_framework/handlers/web/resource_mapping.rst:93;ja/application_framework/application_framework/libraries/authorization/permission_check.rst:32;ja/application_framework/application_framework/libraries/data_io/data_format.rst:199;ja/application_framework/application_framework/libraries/service_availability.rst:30;ja/application_framework/application_framework/libraries/stateless_web_app.rst:97;ja/application_framework/application_framework/messaging/db/architecture.rst:35;ja/application_framework/application_framework/messaging/db/architecture.rst:66;ja/application_framework/application_framework/messaging/mom/architecture.rst:58;ja/application_framework/application_framework/messaging/mom/architecture.rst:64;ja/application_framework/application_framework/messaging/mom/architecture.rst:67;ja/application_framework/application_framework/messaging/mom/architecture.rst:73;ja/application_framework/application_framework/messaging/mom/architecture.rst:82;ja/application_framework/application_framework/messaging/mom/architecture.rst:122;ja/application_framework/application_framework/messaging/mom/architecture.rst:183;ja/application_framework/application_framework/messaging/mom/architecture.rst:243;ja/application_framework/application_framework/messaging/mom/architecture.rst:318;ja/application_framework/application_framework/nablarch/architecture.rst:25;ja/application_framework/application_framework/nablarch/architecture.rst:27;ja/application_framework/application_framework/nablarch/architecture.rst:29;ja/application_framework/application_framework/nablarch/architecture.rst:60;ja/application_framework/application_framework/nablarch/architecture.rst:63;ja/application_framework/application_framework/nablarch/architecture.rst:64;ja/application_framework/application_framework/nablarch/architecture.rst:71;ja/application_framework/application_framework/nablarch/policy.rst:25;ja/application_framework/application_framework/nablarch/policy.rst:81;ja/application_framework/application_framework/web/architecture.rst:23;ja/application_framework/application_framework/web/architecture.rst:33;ja/application_framework/application_framework/web/architecture.rst:34;ja/application_framework/application_framework/web/architecture.rst:39;ja/application_framework/application_framework/web/architecture.rst:45;ja/application_framework/application_framework/web/architecture.rst:84;ja/application_framework/application_framework/web/feature_details.rst:20;ja/application_framework/application_framework/web/feature_details/web_front_controller.rst:10;ja/application_framework/application_framework/web/feature_details/web_front_controller.rst:12;ja/application_framework/application_framework/web/feature_details/web_front_controller.rst:23;ja/application_framework/application_framework/web/feature_details/web_front_controller.rst:25;ja/application_framework/application_framework/web/feature_details/web_front_controller.rst:54;ja/application_framework/application_framework/web_service/http_messaging/architecture.rst:24;ja/application_framework/application_framework/web_service/http_messaging/architecture.rst:25;ja/application_framework/application_framework/web_service/http_messaging/architecture.rst:30;ja/application_framework/application_framework/web_service/http_messaging/architecture.rst:36;ja/application_framework/application_framework/web_service/http_messaging/architecture.rst:66;ja/application_framework/application_framework/web_service/http_messaging/architecture.rst:112;ja/application_framework/application_framework/web_service/rest/architecture.rst:49;ja/application_framework/application_framework/web_service/rest/architecture.rst:50;ja/application_framework/application_framework/web_service/rest/architecture.rst:55;ja/application_framework/application_framework/web_service/rest/architecture.rst:63;ja/application_framework/application_framework/web_service/rest/architecture.rst:88;ja/application_framework/application_framework/web_service/rest/architecture.rst:147;ja/application_framework/application_framework/web_service/rest/architecture.rst:149;ja/application_framework/application_framework/web_service/rest/architecture.rst:152;ja/application_framework/application_framework/web_service/rest/architecture.rst:169
全体	ハンドラキュー	ハンドラキュー	design	2	1	.rn/20260724-ntf-yaml-support/design.md:30;.rn/20260724-ntf-yaml-support/design.md:43
全体	ハンドラキュー	ハンドラーキュー	current	0	0	
全体	ハンドラキュー	ハンドラーキュー	input	0	0	
全体	ハンドラキュー	ハンドラーキュー	fw	0	0	
全体	ハンドラキュー	ハンドラーキュー	design	0	0	
全体	リクエストID	リクエストID	current	47	10	ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/02_componentUnitTest.rst:103;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/02_componentUnitTest.rst:122;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/delayed_receive.rst:26;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/delayed_receive.rst:29;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/delayed_send.rst:30;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/delayed_send.rst:33;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/delayed_send.rst:75;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/delayed_send.rst:76;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_send_sync.rst:58;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_send_sync.rst:59;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_send_sync.rst:75;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:44;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:58;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:197;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:207;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:11;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:14;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:15;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:16;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:87;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:97;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:164;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:165;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:166;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:167;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:178;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:211;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:246;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:255;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:54;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:55;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:59;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:60;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:61;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:139;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:140;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:141;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:142;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:287;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:288;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:289;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:290;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:539;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:435;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:438;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:449
全体	リクエストID	リクエストID	input	1	1	.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:375
