section_id,src_file,src_line,body_start_line,body_end_line,heading_path,lines,code_blocks,tables,figures
input-0042,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,109,110,121,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.2 エンコーディング指定付き固定長ファイル > Excel,12,0,1,0
input-0043,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,122,123,144,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.2 エンコーディング指定付き固定長ファイル > YAML,22,1,0,0
input-0044,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,146,146,148,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.3 groupId 付き固定長ファイル > (L2直下),3,0,0,0
input-0045,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,149,150,166,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.3 groupId 付き固定長ファイル > Excel,17,0,2,0
input-0046,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,167,168,198,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.3 groupId 付き固定長ファイル > YAML,31,1,0,0
input-0047,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,200,200,202,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.4 可変長ファイル > (L2直下),3,0,0,0
input-0048,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,203,204,212,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.4 可変長ファイル > Excel,9,0,1,0
input-0049,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,213,214,245,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.4 可変長ファイル > YAML,32,2,0,0
input-0050,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,246,247,255,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.4 可変長ファイル > Excel,9,0,1,0
input-0051,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,256,257,283,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.4 可変長ファイル > YAML,27,1,0,0
input-0052,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,285,285,287,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.5 複数レコードレイアウト > (L2直下),3,0,0,0
input-0053,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,288,289,302,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.5 複数レコードレイアウト > Excel,14,0,1,0
input-0054,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,303,304,330,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.5 複数レコードレイアウト > YAML,27,1,0,0
input-0055,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,332,332,334,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.6 空ファイル > (L2直下),3,0,0,0
input-0056,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,335,336,342,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.6 空ファイル > Excel,7,0,1,0
input-0057,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,343,344,354,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.6 空ファイル > YAML,11,1,0,0
input-0058,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,2,2,6,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > (L1直下),5,0,0,0
input-0059,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,8,8,10,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.1 MESSAGE セクション（メッセージ送受信） > (L2直下),3,0,0,0
input-0060,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,11,12,31,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.1 MESSAGE セクション（メッセージ送受信） > Excel,20,0,2,0
input-0061,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,32,33,62,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.1 MESSAGE セクション（メッセージ送受信） > YAML,30,1,0,0
input-0062,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,63,64,71,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.1 MESSAGE セクション（メッセージ送受信） > 制約・補足,8,0,0,0
input-0063,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,73,73,75,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.2 要求電文・応答電文の期待値（SendSync メッセージング） > (L2直下),3,0,0,0
input-0064,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,76,77,90,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.2 要求電文・応答電文の期待値（SendSync メッセージング） > Excel,14,0,2,0
input-0065,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,91,92,121,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.2 要求電文・応答電文の期待値（SendSync メッセージング） > YAML,30,1,0,0
input-0066,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,122,123,130,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.2 要求電文・応答電文の期待値（SendSync メッセージング） > 制約・補足,8,0,0,0
input-0067,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,132,132,134,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.3 sendSyncTestData の配置規則 > (L2直下),3,0,0,0
input-0068,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,135,136,142,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.3 sendSyncTestData の配置規則 > Excel,7,0,1,0
input-0069,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,143,144,159,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.3 sendSyncTestData の配置規則 > YAML,16,1,0,0
input-0070,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,160,161,168,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.3 sendSyncTestData の配置規則 > 制約・補足,8,0,0,0
input-0071,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,170,170,172,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.4 ステータスコードのデフォルト値 > (L2直下),3,0,0,0
input-0072,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,173,174,181,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.4 ステータスコードのデフォルト値 > Excel,8,0,1,0
input-0073,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,182,183,194,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.4 ステータスコードのデフォルト値 > YAML,12,1,0,0
input-0074,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-messaging.md,195,196,197,NTF テストデータ解説書 — 記述例（メッセージングテストデータ） > 7.4 ステータスコードのデフォルト値 > 制約・補足,2,0,0,0
input-0075,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-overview.md,2,2,4,NTF テストデータ解説書 — 記述例（概要・groupId） > (L1直下),3,0,0,0
input-0076,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-overview.md,6,6,8,NTF テストデータ解説書 — 記述例（概要・groupId） > 1. NTF テストデータ > (L2直下),3,0,0,0
input-0077,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-overview.md,9,10,35,NTF テストデータ解説書 — 記述例（概要・groupId） > 1. NTF テストデータ > Excel,26,0,4,0
input-0078,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-overview.md,36,37,92,NTF テストデータ解説書 — 記述例（概要・groupId） > 1. NTF テストデータ > YAML,56,1,0,0
input-0079,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-overview.md,94,94,103,NTF テストデータ解説書 — 記述例（概要・groupId） > 4.3 セクションのグループ化（groupId） > (L2直下),10,0,1,0
input-0080,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-overview.md,104,105,135,NTF テストデータ解説書 — 記述例（概要・groupId） > 4.3 セクションのグループ化（groupId） > Excel,31,0,5,0
input-0081,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-overview.md,136,137,194,NTF テストデータ解説書 — 記述例（概要・groupId） > 4.3 セクションのグループ化（groupId） > YAML,58,1,0,0
input-0082,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,2,2,6,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > (L1直下),5,0,0,0
input-0083,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,9,10,58,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 8. 特殊値・インタープリタ > 8.1 日付型・Timestamp・特殊値,49,1,1,0
input-0084,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,59,60,87,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 8. 特殊値・インタープリタ > 8.2 QuotationTrimmer によるスペース値明示記法,28,1,1,0
input-0085,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,88,89,120,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 8. 特殊値・インタープリタ > 8.3 バイナリデータ,32,1,1,0
input-0086,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,123,124,163,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 9. ディレクティブ > 9.1 固定長ファイルのディレクティブ,40,1,1,0
input-0087,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,164,165,205,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 9. ディレクティブ > 9.2 可変長ファイルのディレクティブ,41,1,1,0
input-0088,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,208,209,246,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 10. ヘッダ・コメント・空エントリ > 10.1 コメントとマーカーカラム,38,1,1,0
input-0089,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,247,248,281,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 10. ヘッダ・コメント・空エントリ > 10.2 空エントリのスキップ,34,1,1,0
input-0090,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,283,283,285,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 11. DB アサート > (L2直下),3,0,0,0
input-0091,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,286,287,316,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 11. DB アサート > 11.1 テーブルアサート（順序不問・主キー突合・全件列挙）,30,1,1,0
input-0092,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-special.md,317,318,330,NTF テストデータ解説書 — 記述例（特殊値・ディレクティブ・ヘッダ） > 11. DB アサート > 11.2 EXPECTED_COMPLETE_TABLE（省略カラムにデフォルト値補完）,13,1,0,0
input-0093,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-table.md,2,2,6,NTF テストデータ解説書 — 記述例（テーブルデータ） > (L1直下),5,0,0,0
input-0094,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-table.md,8,8,10,NTF テストデータ解説書 — 記述例（テーブルデータ） > 5.1 テーブルデータの基本形式 > (L2直下),3,0,0,0
input-0095,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-table.md,11,12,61,NTF テストデータ解説書 — 記述例（テーブルデータ） > 5.1 テーブルデータの基本形式 > SETUP_TABLE,50,1,1,0
input-0096,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-table.md,62,63,125,NTF テストデータ解説書 — 記述例（テーブルデータ） > 5.1 テーブルデータの基本形式 > EXPECTED_TABLE と EXPECTED_COMPLETE_TABLE,63,1,3,0
input-0097,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-table.md,126,127,182,NTF テストデータ解説書 — 記述例（テーブルデータ） > 5.1 テーブルデータの基本形式 > LIST_MAP,56,1,2,0
input-0098,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,2,2,15,NTF テストデータ解説書 — testShots カラム一覧 > (L1直下),14,0,0,0
input-0099,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,16,17,43,NTF テストデータ解説書 — testShots カラム一覧 > 全体像,27,1,1,0
input-0100,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,44,45,59,NTF テストデータ解説書 — testShots カラム一覧 > 共通カラム,15,0,1,0
input-0101,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,62,63,71,NTF テストデータ解説書 — testShots カラム一覧 > ウェブアプリケーション（HttpRequestTestSupport） > 必須カラム,9,0,1,0
input-0102,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,72,73,93,NTF テストデータ解説書 — testShots カラム一覧 > ウェブアプリケーション（HttpRequestTestSupport） > オプションカラム,21,0,1,0
input-0103,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,94,95,137,NTF テストデータ解説書 — testShots カラム一覧 > ウェブアプリケーション（HttpRequestTestSupport） > 記述例,43,1,2,0
input-0104,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,140,141,149,NTF テストデータ解説書 — testShots カラム一覧 > バッチ処理（BatchRequestTestSupport） > 必須カラム,9,0,1,0
input-0105,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,150,151,162,NTF テストデータ解説書 — testShots カラム一覧 > バッチ処理（BatchRequestTestSupport） > オプションカラム,12,0,1,0
input-0106,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,163,164,198,NTF テストデータ解説書 — testShots カラム一覧 > バッチ処理（BatchRequestTestSupport） > 記述例,35,1,1,0
input-0107,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,201,202,210,NTF テストデータ解説書 — testShots カラム一覧 > メッセージング（MessagingRequestTestSupport） > 必須カラム,9,0,1,0
input-0108,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,211,212,221,NTF テストデータ解説書 — testShots カラム一覧 > メッセージング（MessagingRequestTestSupport） > オプションカラム,10,0,1,0
input-0109,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,222,223,250,NTF テストデータ解説書 — testShots カラム一覧 > メッセージング（MessagingRequestTestSupport） > 記述例,28,1,1,0
input-0110,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,252,252,254,NTF テストデータ解説書 — testShots カラム一覧 > エンティティバリデーション（EntityTestSupport） > (L2直下),3,0,0,0
input-0111,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,255,256,262,NTF テストデータ解説書 — testShots カラム一覧 > エンティティバリデーション（EntityTestSupport） > 必須カラム,7,0,1,0
input-0112,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,263,264,268,NTF テストデータ解説書 — testShots カラム一覧 > エンティティバリデーション（EntityTestSupport） > 関連予約 ID,5,0,1,0
input-0113,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-testshots.md,269,270,287,NTF テストデータ解説書 — testShots カラム一覧 > エンティティバリデーション（EntityTestSupport） > 記述例,18,1,1,0
input-0114,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,2,2,6,NTF テストデータ リファレンス > (L1直下),5,0,0,0
input-0115,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,7,8,21,NTF テストデータ リファレンス > 目次,14,0,0,0
input-0116,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,22,23,48,NTF テストデータ リファレンス > 1. 全体像,26,1,1,0
input-0117,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,50,50,81,NTF テストデータ リファレンス > 2. テストデータの基本構造 > (L2直下),32,1,1,0
input-0118,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,82,83,91,NTF テストデータ リファレンス > 2. テストデータの基本構造 > ファイルの読み込みルール,9,0,1,0
input-0119,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,94,95,129,NTF テストデータ リファレンス > 3. データブロック識別 > 3.1 識別の構成要素,35,1,2,0
input-0120,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,130,131,150,NTF テストデータ リファレンス > 3. データブロック識別 > 3.2 データブロック種別の一覧,20,0,1,0
input-0121,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,151,152,162,NTF テストデータ リファレンス > 3. データブロック識別 > 3.3 同一ファイル（シート）内に複数のデータブロックを書く場合の注意,11,0,0,0
input-0122,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,165,166,174,NTF テストデータ リファレンス > 4. テストケース定義 > 4.1 testShots,9,0,0,0
input-0123,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,175,176,185,NTF テストデータ リファレンス > 4. テストケース定義 > 4.2 testShots のカラム仕様,10,0,0,0
input-0124,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,186,187,210,NTF テストデータ リファレンス > 4. テストケース定義 > 4.3 データブロックのグループ化（groupId）,24,1,1,0
input-0125,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,213,214,239,NTF テストデータ リファレンス > 5. テーブルデータ > 5.1 データの形式,26,2,1,0
input-0126,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,240,241,263,NTF テストデータ リファレンス > 5. テーブルデータ > 5.2 SETUP_TABLE,23,0,1,0
input-0127,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,264,265,275,NTF テストデータ リファレンス > 5. テーブルデータ > 5.3 EXPECTED_TABLE,11,0,0,0
input-0128,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,276,277,296,NTF テストデータ リファレンス > 5. テーブルデータ > 5.4 EXPECTED_COMPLETE_TABLE,20,0,1,0
input-0129,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,297,298,333,NTF テストデータ リファレンス > 5. テーブルデータ > 5.5 LIST_MAP,36,2,1,0
input-0130,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,336,337,341,NTF テストデータ リファレンス > 6. ファイルデータ > 6.1 固定長・可変長の統合,5,0,0,0
input-0131,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,342,343,391,NTF テストデータ リファレンス > 6. ファイルデータ > 6.2 ファイルデータブロックの構造,49,3,0,0
input-0132,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc.md,392,393,397,NTF テストデータ リファレンス > 6. ファイルデータ > 6.3 固定長ファイル固有の仕様,5,0,0,0
